K,Silhouette,Davies_Bouldin,Inertia,Training_Time
3,0.41379968617369645,1.2613286853197998,128166.96427795754,15.09410810470581
4,0.28759353997965775,1.354786451360957,115064.36262676107,14.34983229637146
5,0.24611915395760245,1.4819284520370861,105372.37843756363,11.341394901275635
6,0.2431499147722712,1.442451207928521,98046.96897107377,11.010881900787354
7,0.20098900483521606,1.4703377970726226,93243.25808529629,10.76476263999939
8,0.19687661784633514,1.5137996490876535,89039.0256142053,10.971717834472656
